number,serve position,serve velocity,landing position,target,drone hitting positon,drone hitting velocity,drone hitting attitude
79,  3.06761 -0.505316         2,-5.92895 0.410118  8.01301, -4.38685 0.0103247         0,4 0 0,  -3.85867 -0.0262108    1.33216, 1.21341 0.104928  2.79094,0.00732343   0.284082 0.00216992    0.95877
80, 3.68059 -0.57705        2,-6.26906 0.936333   8.1205,-4.14546 0.591832        0,4 0 0,failed,failed,failed
81,  4.21359 -0.712683         2,-6.20471 0.850081  7.53873,-3.32502 0.320151        0,4 0 0,-2.30421 0.180293  2.11834,  1.73981 0.0186076    2.3186, 0.0226824   0.275343 0.00649851   0.961057
82, 4.25025 -0.65765        2,-5.77142 0.857356  8.44474,-3.17627 0.445574        0,4 0 0,-2.19931 0.300445  2.35511, 1.31208 0.215951  2.28478, 0.0253781   0.270231 0.00712564   0.962435
83,  4.37592 -0.252917         2,-7.02496 0.177685  8.54587,  -4.37917 -0.0314711          0,4 0 0,  -3.38777 -0.0565469    2.13162,  1.81449 0.0218859   2.22487, 0.00226117    0.291875 0.000690027    0.956454
84, 4.16114 0.124498        2,-7.03722 0.456892   7.8913,-4.33694 0.676237        0,4 0 0,-3.53117 0.623922  1.68886, 2.04605 0.750191  2.19999,0.0223443  0.295821 0.0069217  0.954957
85,  3.66288 -0.717346         2,-7.30324 0.264095  6.54028, -4.46846 -0.423306         0,4 0 0,failed,failed,failed
86,  3.51442 -0.291069         2,-6.50942 0.676362  7.55024,-4.33599 0.524629        0,4 0 0,-3.58541  0.44664  1.60358,2.03246 0.65886 2.30541, 0.0234026   0.293583 0.00718966    0.95562
87,  3.6049 0.119327        2, -6.0002 0.385754  7.40451,-3.69201 0.588446        0,4 0 0,-2.91521 0.538506  1.70685,  1.04483 0.0691736   2.79534, 0.0201673   0.283006 0.00595217   0.958888
88,    4.3763 -0.0945698          2, -7.4273 0.537569  7.44732,-4.30509 0.533767        0,4 0 0,-3.40244 0.468436  1.68233,     1.20085 -0.000259129      2.84059, 0.0204389   0.297037 0.00635968   0.954626
89,  3.18414 -0.833879         2,-5.87034  0.82341  7.30303,-3.92821 0.163745        0,4 0 0,failed,failed,failed
90,   3.22109 -0.0459569          2,-5.22555 0.667271  7.66647,-3.35898 0.794279        0,4 0 0,-2.49631  0.68412  2.10845, 1.52529 0.291692  2.49206, 0.0302623   0.267702 0.00841264    0.96299
91,3.38423 0.41677       2,-5.99603   0.1364  8.66769, -4.3724 0.593221        0,4 0 0,failed,failed,failed
92,  3.25164 -0.580155         2,-5.97764 0.806187   8.6401, -4.4615 0.460094        0,4 0 0,-3.97532 0.394524   1.3177,  1.34288 0.0564198   2.58708, 0.0233476    0.28485 0.00694024   0.958263
93,  4.07111 -0.667178         2,-6.13142 0.417774  6.63841,  -3.0263 -0.183584         0,4 0 0, -2.11057 -0.245979   1.77316,   1.9094 0.0521296   2.36656,0.00437601   0.272597 0.00123986   0.962117
94,  3.62544 -0.208416         2,-6.33286 0.809178  7.78855,-4.14569 0.784536        0,4 0 0,-3.43173  0.69331  1.60396,   1.1367 0.0491387   2.81292, 0.0309289   0.284712 0.00919124    0.95807
95, 3.25548 -0.50719        2,-6.24963 0.124678  6.83252, -4.03764 -0.361695         0,4 0 0, -3.31581 -0.376095   1.48712,   1.29678 -0.0541461    2.84706,-0.00547545    0.292378 -0.00167409    0.956286
96, 4.22062 0.204873        2,-6.47136 0.296577  7.48611,-3.56697 0.561772        0,4 0 0,-2.52898 0.514202  2.08046,  1.67696 0.0531228   2.43237,  0.017339   0.280412 0.00506618    0.95971
97,  4.41126 -0.648959         2,-6.54974 0.721966  7.59675,-3.49295 0.222307        0,4 0 0, -2.4526 0.107631   2.0918,  1.66582 0.0339347     2.358, 0.0179072    0.28059 0.00523586   0.959646
98,  3.95667 -0.257028         2,-6.45329 0.314619  6.65231,-3.45232 0.104185        0,4 0 0, -2.61374 0.0633014   1.60135,  1.64116 -0.070533   2.55259,0.00825464   0.282232 0.00242855   0.959307
99,  4.25884 -0.481062         2,-7.22005 0.265899  6.96939, -4.00935 -0.176562         0,4 0 0,  -3.1013 -0.210003   1.63857, 1.28918 -0.11812  2.79274, 0.00110799    0.295865 0.000343179    0.955229
100, 3.26687 0.738708        2,  -5.87559 0.00630689    8.64006,-4.34551  0.74688        0,4 0 0,-3.81607 0.746311  1.44273,  1.43264 0.0865862   2.50524, 0.0163968   0.281459 0.00481024   0.959421
101,   3.22232 -0.0451056          2,-5.5271 0.10875 8.54795, -3.98203 0.0966452         0,4 0 0, -3.42335 0.0856528   1.56525, 1.24046 0.150791  2.49766,0.00403813   0.277697  0.0011673   0.960659
102,  3.95366 -0.560069         2,-6.41438  1.02085  7.55173,-3.79197 0.672654        0,4 0 0,-2.97235 0.542211  1.74549,   1.01511 -0.0150078    2.79945, 0.0330824    0.28549 0.00986123    0.95776
103,  3.41667 -0.475073         2,-6.32895 0.561818  7.47884, -4.2246 0.203239        0,4 0 0,-3.25491  0.11716  2.00033,  1.37273 0.0228952   2.79907, 0.0146084   0.288041 0.00439459   0.957497
104,   4.30896 -0.0243567          2, -6.83844 0.0257805    8.1963,  -4.12925 0.00745477          0,4 0 0,  -3.25223 0.00414848    1.89278, 2.46145 0.329545  1.77451,0.000598867    0.290458 0.000181782    0.956888
105, 3.21743 0.139486        2,  -5.821 0.190255  7.99713, -4.1251 0.379471        0,4 0 0,-3.11207 0.346361   2.2862, 1.73522 0.052661  2.51779, 0.0113915    0.27755 0.00329126   0.960638
106, 4.22918 0.443046        2,-6.51499  0.20815  6.60716, -3.2235 0.681155        0,4 0 0,-2.40068 0.654866  1.54991,  1.81878 0.0185312   2.42453, 0.0181938   0.277207 0.00525016   0.960624
107,  4.25679 -0.794638         2,-7.84159 0.298772  6.80265, -4.46818 -0.462209         0,4 0 0, -3.75397 -0.489421    1.2661,  1.15778 -0.172533   2.96961,-0.00471044    0.312425 -0.00154923    0.949929
108,   3.636 0.138787        2, -5.74068 0.0392922   7.28675,-3.35406 0.186631        0,4 0 0,-2.43928 0.180369   1.9801,   1.74263 -0.0263203    2.44321, 0.0047081   0.270433 0.00132252   0.962726
109,3.79871  -0.616       2,-6.00658  1.21394  6.70366,-3.18835 0.796097        0,4 0 0,-2.40561 0.637904  1.59799,  1.63867 -0.077816   2.51492,0.0404536  0.272304 0.0114592  0.961292
110,  4.04171 -0.567406         2,-5.70355 0.540934    8.278,-3.27075 0.126119        0,4 0 0, -2.26437 0.0306729   2.37366,  1.47308 0.0314215   2.26654, 0.0126906   0.271515 0.00358051   0.962344
111,  4.09518 -0.261119         2,-6.39968 0.395017  8.24694,-3.91865 0.233531        0,4 0 0,-3.04722 0.179743  1.98215,  1.7229 0.691024  2.26389,0.0118747  0.282779 0.0035011  0.959105
112,  3.85436 -0.687065         2, -5.78767 0.0541213   7.84318, -3.38646 -0.619355         0,4 0 0, -2.64024 -0.626333   1.79084,  2.38233 0.0895758   1.82264,  -0.012522    0.271584 -0.00353391    0.962327
113,   3.26089 -0.0244932          2, -5.88038 0.0266798   6.52654,  -3.54691 0.00639439          0,4 0 0,  -2.95352 0.00370212    1.27267,   1.57734 -0.0485177    2.61525,0.000664329      0.2812 0.000194664    0.959649
114,  3.01509 -0.708546         2,-5.51093 0.488618  8.64577,   -4.2024 -0.0686176          0,4 0 0, -3.49479 -0.131357    1.9152,  1.68582 0.0142637   2.33762,0.00692145   0.274016 0.00197213   0.961698
115,3.76679 0.28641       2,-6.54821 0.412468  8.18226,-4.37276 0.799115        0,4 0 0,-3.39256 0.737374  2.12831, 1.15863 0.274224  2.81808,   0.02404   0.288777 0.00725362   0.957067
116, 4.17441 0.361373        2,-6.37622 0.309168  6.71767,-3.19326 0.718614        0,4 0 0,-2.33681 0.677086  1.65158,  1.79479 0.0101491   2.41857,  0.021051   0.276155 0.00605013   0.960864
117,  3.11267 -0.287971         2,-6.45191 0.574507  6.96376,-4.43699 0.384285        0,4 0 0,-3.99351 0.344795 0.968347,    1.44983 -0.00981802     2.82451, 0.0188642   0.298047 0.00589138   0.954346
118, 4.30241 0.211092        2,-6.24232 0.218998  7.54263,-3.28495 0.477278        0,4 0 0,-2.26295 0.441424  2.11401,  1.79576 0.0457645   2.27177, 0.0143126   0.275623 0.00410432    0.96115
119,  3.45781 -0.596595         2,-6.12466   1.2083  6.61679,-3.59777 0.795367        0,4 0 0,-2.91051 0.659779  1.41691,   1.46605 -0.0403629     2.6881,0.0404436  0.282133 0.0119052  0.958448
120,  3.86971 -0.191729         2,-5.9242 0.74431  7.1983,-3.25683 0.703641        0,4 0 0,-2.33464 0.587778  1.94046, 1.85073 0.156279  2.35795,  0.029196   0.271412 0.00823728   0.961985
121,  3.65948 -0.527074         2,-5.88391 0.641492  7.40072,-3.51371 0.254982        0,4 0 0, -2.585 0.15373 1.99632,1.92385 0.16969  2.3047, 0.0175935   0.275066 0.00503446   0.961251
122, 3.91424 0.107429        2,-6.40119 0.360708  7.73612,-3.90519 0.548055        0,4 0 0,failed,failed,failed
123,  3.54337 -0.794521         2,-5.27539 0.526825    8.329, -3.32007 -0.109107         0,4 0 0, -2.34433 -0.206549   2.45527,   1.39615 -0.0203867    2.36543,0.00736755   0.267717 0.00204721   0.963467
124,  3.37019 -0.361595         2,-6.02977 0.904518   7.9042,-4.14056 0.765083        0,4 0 0,-3.28667 0.636992  1.93345,0.848513 0.108012  2.96788, 0.0330113   0.286508 0.00987824   0.957458
125,  3.56338 -0.734806         2,-5.95671 0.446812  6.87745, -3.46921 -0.207292         0,4 0 0, -2.61226 -0.271572   1.75967,   1.46974 -0.0380527    2.65334,0.00428253   0.278462 0.00124165   0.960437
126,  3.27761 -0.511183         2,-5.20115 0.818458   8.1458,-3.4392 0.54578       0,4 0 0, -2.5815 0.410811  2.19981, 1.49874 0.293771  2.39892, 0.0271721   0.266164 0.00750609   0.963516
127,3.66111 0.26811       2, -6.0609 0.239284      7.3,-3.65601 0.556989        0,4 0 0,-2.69172 0.518919  1.99258, 1.80239 0.120707  2.41842, 0.0164499   0.280281 0.00480387   0.959765
128,  3.84694 -0.369929         2,-6.72622 0.342237  7.76302, -4.29904 0.0445468         0,4 0 0,   -3.22809 -0.00994427     2.14967,   1.33934 -0.0303574    2.70777,0.00709909   0.295623 0.00219691   0.955276
129,  3.44234 -0.373343         2,-5.18078 0.633337  8.42788,-3.34632 0.456553        0,4 0 0,-2.43763 0.345468  2.37297,0.977516 0.447247  2.63432, 0.0216684   0.263916 0.00593046   0.964284
130,  4.25205 -0.715343         2,-7.74522 0.505266  6.94205, -4.45844 -0.147106         0,4 0 0, -3.62644 -0.201382   1.46752, 1.09077 -0.13335  2.99786,0.00580393   0.309167 0.00188686   0.950988
131,  3.40015 -0.823303         2,-6.26272 0.387886  7.11318,-4.02775 -0.36325        0,4 0 0, -3.18319 -0.415559    1.7328,   1.21513 -0.0818764    2.83773,-0.000589986     0.292481  -0.00018045     0.956271
132, 4.03324 0.147483        2,-6.56545 0.334423  8.63935,-4.30343 0.572127        0,4 0 0,-3.12878 0.512294  2.54721,1.22806 0.13004 2.67656, 0.0177458   0.285971 0.00529694   0.958059
