number,serve position,serve velocity,landing position,target,drone hitting positon,drone hitting velocity,drone hitting attitude
434,4.32679  1.3161       2,-5.69156 -3.11271  7.13248,-2.38579 -2.35501        0,4 0 0,-1.60544 -1.92824  1.77457,  3.7752 -2.17719  1.55542, -0.109068   0.250779 -0.0284483    0.96146
435,4.31193 2.40682       2,-5.75745 -3.41668  8.66642,-2.97401 -1.91692        0,4 0 0, -2.2763 -1.50287  1.89171,  2.81307 -0.281902   1.35603,-0.0985197   0.255311 -0.0261611   0.961471
436,3.50038 1.09625       2,-5.03246 -2.67555  7.77135,-2.80061 -2.25373        0,4 0 0,failed,failed,failed
437, 2.3451 2.35368       2,-3.53549 -2.56174  7.68438, -2.23076 -0.961884         0,4 0 0,failed,failed,failed
438,2.29927 2.11074       2,-4.69467 -2.45385  7.85636,-3.67428 -1.01156        0,4 0 0,failed,failed,failed
439, 1.88693 0.991995        2,-4.34862 -2.43692   7.4693,-3.57824 -2.07064        0,4 0 0,-2.59465 -1.51944  2.59393, 2.02464 -1.21819  2.92483,-0.0914511    0.24989 -0.0237146   0.963654
440,1.30352 1.44288       2,-2.37909 -2.42694  7.58421,-1.84719  -1.7712        0,4 0 0,failed,failed,failed
441, 2.2419 1.69191       2,-5.04009 -2.13526  7.62845, -4.05911 -0.977545         0,4 0 0,failed,failed,failed
442,3.26682 1.93066       2,  -2.904 -2.12262  7.86199,-0.616398 -0.907707         0,4 0 0,failed,failed,failed
443,2.27409 1.18779       2,-2.64872 -2.29493  7.24618,-1.15783 -1.78572        0,4 0 0,-0.827999  -1.49995   1.52583, 4.57292  -1.3105 0.960688,-0.0914418   0.199617 -0.0187133   0.975419
444,2.69293 2.25966       2,-5.14797 -3.08134  8.07145,-3.78012 -1.61481        0,4 0 0,failed,failed,failed
445,3.45276 2.14332       2,-3.65386 -3.62122   7.4268, -1.1118 -2.38047        0,4 0 0,-0.692798  -1.96521   1.51392, 4.58709 -1.78867 0.857434,-0.128909  0.212954 -0.028356  0.968106
446,0.850074  1.72428        2, -3.7953 -2.53378  7.69874,-4.04733 -1.54527        0,4 0 0,failed,failed,failed
447,  2.075 1.44826       2,-2.49111 -2.47216  7.81513,-1.25049 -1.85194        0,4 0 0,failed,failed,failed
448,3.11622 2.20915       2,-6.25292 -3.09519  7.83485,-4.43682  -1.5296        0,4 0 0,  -3.0757 -0.855849   2.73525,  1.59304 -0.496276   3.02022,-0.0849295   0.274699 -0.0243665   0.957462
449, 1.9878 1.02568       2,-2.39463 -2.02745  6.67684,-1.04051 -1.53829        0,4 0 0,-0.701001  -1.25083   1.57648, 4.53054 -1.33506  1.17031,-0.0827709   0.195602 -0.0165706   0.977044
450,4.28066 2.46025       2,-7.66138 -4.16982  7.41939,-4.31632 -2.21878        0,4 0 0,failed,failed,failed
451,4.48467 1.03478       2,-6.18571 -2.08206  7.87979,-3.10421 -1.51958        0,4 0 0,failed,failed,failed
452,3.69391 1.49115       2,-5.57203 -2.55912  8.04092,-3.27575 -1.70988        0,4 0 0,failed,failed,failed
453,0.576381  1.06849        2,-3.49285 -2.49706  7.73642,-3.97011 -2.18182        0,4 0 0,failed,failed,failed
454,2.15949  1.2947       2,-4.02878 -2.48526  8.25009, -3.1531 -1.98252        0,4 0 0,failed,failed,failed
455,3.06757 1.75471       2,-4.08455 -3.19901  8.02841,-2.19105 -2.36382        0,4 0 0,failed,failed,failed
456,2.98204 1.61911       2,-5.40535 -3.26439  6.83277,-3.31546 -2.18406        0,4 0 0,-2.23307 -1.53039  2.27988, 2.85055 -1.85601  2.57327,  -0.10766   0.256092 -0.0287135   0.960209
457,2.11786 1.58091       2,-4.41051 -2.61817  6.82461,-3.20641 -1.57969        0,4 0 0,failed,failed,failed
458,3.65608 1.27472       2,-6.96508 -3.14261  6.58533,-4.03213 -2.19417        0,4 0 0,-2.65531 -1.57295  2.26454,  2.06598 -0.755893   2.92633, -0.100384   0.278583 -0.0292922   0.954702
459,2.97109 2.47479       2,-4.88787 -3.33592   6.5628,-2.69497 -1.39223        0,4 0 0, -1.80908 -0.787622   2.03447,  3.25598 -0.448083   2.03023,-0.0943472   0.239074 -0.0233468   0.966125
460,3.36342 2.12206       2,-6.05748 -3.58052  7.15922,-3.67899 -2.04064        0,4 0 0,failed,failed,failed
461,4.31477  2.2935       2,-6.35251 -4.09942  7.00098,-2.89669 -2.36022        0,4 0 0,-1.84537 -1.68178  2.06736,3.27777 -1.6942 1.96801, -0.122273   0.257627 -0.0328847   0.957913
462,3.0581  1.977      2,-2.62856 -2.15818  8.13247,-0.522913 -0.963183         0,4 0 0,-0.295462 -0.776434   1.21133,  4.57475 -0.307591  0.146467,-0.0684407   0.195214 -0.0136573   0.978274
463, 2.67087 0.865843        2,-4.97785  -2.5752  6.87445,-3.27676 -2.21105        0,4 0 0,failed,failed,failed
464,2.69696 1.34631       2,-3.05437 -2.97931  7.39849,-1.20685 -2.46156        0,4 0 0,failed,failed,failed
465,4.04131 1.47086       2,-3.63046 -2.23459  8.20863,-0.796016  -1.50657         0,4 0 0,-0.501937  -1.32556   1.20995,    4.544 -0.612904  0.128864,-0.0813648   0.213155 -0.0178161   0.973461
466,4.34722 2.10637       2,-3.72021 -2.60114   8.4141, -0.6243 -1.36968        0,4 0 0,-0.364454  -1.18799    1.0712,    4.5798  -0.504004 -0.0822562,-0.0846236    0.21329 -0.0185476    0.97314
467,1.26561 2.35758       2,-4.65802 -3.96678  6.88068,-4.21303 -2.30804        0,4 0 0,failed,failed,failed
468,0.600108  1.94446        2, -3.0277 -3.17291  7.67057,-3.31711 -2.16063        0,4 0 0,failed,failed,failed
469,2.03421 2.46115       2,-2.67328  -3.0765  6.68596,-1.26055 -1.33057        0,4 0 0,-0.857962 -0.867257   1.70363,  4.39378 -0.599356   1.22794,-0.0970711   0.196457 -0.0195493     0.9755
470,3.23067 1.04931       2,-4.10706 -1.57517  8.33032,-2.24921 -1.05238        0,4 0 0, -1.72164 -0.850044    1.8115,  3.08469 -0.165961   1.17478,-0.0539407    0.23577 -0.0131079   0.970222
471,2.39954 1.73429       2,-2.77799 -2.51678  8.24672,-1.36366 -1.67506        0,4 0 0,failed,failed,failed
472,1.31658 1.36013       2,-3.94434 -2.52586  8.13331,-3.86563 -1.95844        0,4 0 0,failed,failed,failed
473,4.13811 1.26482       2,-6.19918 -2.39382  7.54089,-3.31907 -1.61478        0,4 0 0,failed,failed,failed
474, 3.36254 0.908815        2,-3.15706 -1.60421  7.35126,-0.748429  -1.18011         0,4 0 0,-0.437218  -1.02197   1.27127, 4.80444  -0.6253 0.395771,-0.0627497   0.204433 -0.0131331   0.976779
475,4.15889 2.31127       2,-5.08761 -3.25562  6.65291,-1.76016  -1.4764        0,4 0 0,-1.11521 -1.06369  1.54184,  4.08621 -0.976249    1.1839,-0.0951818   0.233594 -0.0229833   0.967391
476,3.75238 1.60312       2,-6.67219 -2.32615  7.58031,-4.18456 -1.16397        0,4 0 0,failed,failed,failed
477,2.98523 2.09206       2,-4.80597 -2.57832  6.94997,-2.80375 -1.01363        0,4 0 0,failed,failed,failed
478,4.47243 2.02088       2,-6.78999 -2.43055  7.60878, -3.57274 -0.858971         0,4 0 0,failed,failed,failed
479, 1.5483 1.23352       2,-4.38018 -2.98687  6.61581,-3.64718 -2.30931        0,4 0 0,-2.52064 -1.54112  2.58249,  2.2552 -2.07092   3.3225, -0.111134   0.255184 -0.0295405    0.96003
480,1.08872 1.48152       2,-4.45387 -2.80627  6.60086,-4.18675 -1.84243        0,4 0 0,failed,failed,failed
481,4.23506 2.46813       2, -5.8954 -3.93453  7.93831,-2.90456 -2.29678        0,4 0 0,-2.00288 -1.69501   2.1177, 3.03079 -1.59329  1.77747, -0.11732  0.254914 -0.031175  0.959314
482,4.04687 1.45524       2,-7.55683 -3.61164  6.51842,-4.10638 -2.44145        0,4 0 0,-2.67068 -1.75529  2.19879,  2.26639 -0.856401   2.79738, -0.110914   0.281818 -0.0328173    0.95247
483,2.86224 1.13476       2,  -5.448 -2.25555  6.52083,-3.44261 -1.47554        0,4 0 0,  -2.2753 -0.992254   2.28586,  2.6962 -1.24637  2.67115,-0.0744599   0.259078 -0.0200368   0.962773
484,2.37603 1.61862       2,-4.23156 -2.04145  8.45084,-3.25363 -1.09732        0,4 0 0,failed,failed,failed
485, 2.60362 0.871217        2,-4.85752 -1.54083  7.58306,-3.51806 -1.07061        0,4 0 0,failed,failed,failed
486,4.25593 1.55888       2,-5.84409 -3.23339  7.61254,-2.77952 -2.33366        0,4 0 0,failed,failed,failed
487,3.91197 2.07459       2, -4.4611 -3.18082  7.80365,-1.71628 -1.93842        0,4 0 0,failed,failed,failed
488, 2.6916 2.02558       2,-2.50196 -3.22333  8.51239,-0.707433  -2.35346         0,4 0 0,failed,failed,failed
489,2.83121 2.17451       2,-5.21241 -3.79013  7.70856,-3.53186  -2.4523        0,4 0 0,  -2.496 -1.69909  2.48487, 2.41975 -1.78034  2.63453,  -0.11997   0.254683 -0.0318598   0.959025
490,3.64477 2.05041       2,-6.13713 -3.14629  8.61045,-4.05522  -1.8971        0,4 0 0,failed,failed,failed
491,  2.223 1.56254       2,-4.37335 -2.35119  8.25486,-3.49766 -1.51298        0,4 0 0,-2.87662  -1.1791   1.9757,  3.03096 -0.165854   1.73683,-0.0738114   0.243344 -0.0185755   0.966949
492, 3.2054 1.36581       2,-3.29286 -2.97356   6.9798,-0.884913  -2.32787         0,4 0 0,failed,failed,failed
493,3.41033 1.82814       2,-5.78788 -3.65387   6.6074,-3.13958 -2.30679        0,4 0 0,-2.06543 -1.62869  2.12549, 3.12021 -1.99572   2.3678, -0.117428   0.258904 -0.0317284   0.958213
494,4.09446  2.0408       2,-5.27547 -2.80488  7.56328,-2.37628 -1.39959        0,4 0 0,-1.73937 -1.06096  1.65302,  3.25917 -0.275456    1.3209,-0.0816429   0.244015  -0.020621   0.966109
495,1.16002 1.41698       2,-2.78617 -1.78985  6.86604, -2.38613 -0.861087         0,4 0 0,failed,failed,failed
496,2.52501 2.10218       2,-3.59104 -3.59808  7.16261,-1.90701 -2.33852        0,4 0 0,-1.34107 -1.77148  1.89096, 3.86171 -1.77048  1.61885, -0.125139   0.219601 -0.0284152   0.967113
497,2.01088 2.24801       2,-3.87614 -3.53558  7.53753,-2.84621 -2.18233        0,4 0 0,failed,failed,failed
498,2.47287 2.17724       2,-4.24358 -3.45562   7.1277,-2.68937 -2.02645        0,4 0 0,-1.90312 -1.38619  2.17019, 3.11662 -1.45343  2.15011, -0.111238   0.235018 -0.0270848   0.965225
499,2.67733  2.4775       2,-6.07424  -3.2344   6.8691,-4.29543 -1.23535        0,4 0 0, -2.85362 -0.467616   2.61566,  1.77955 0.0373456    3.1838, -0.084919    0.27021 -0.0239332    0.95875
500, 2.215 1.0719      2,-3.71611 -2.22109  8.48382, -2.7937 -1.92177        0,4 0 0,failed,failed,failed
501,1.59123 2.12295       2,-2.54323 -3.00402  7.11857,-1.64247 -1.69665        0,4 0 0,-1.31828 -1.31372  1.54523,   3.7395 -0.234845   1.41653, -0.100073   0.196733 -0.0201897   0.975128
502,0.883249  2.38876        2,-3.86387 -3.53258    7.933,-4.05849 -2.12927        0,4 0 0,failed,failed,failed
503,3.30018 1.90393       2,-6.82452 -3.53128  7.07541,-4.45481 -2.10881        0,4 0 0,-2.89496 -1.30168  2.63851, 1.90041 -1.58662   3.2684, -0.104952   0.281299 -0.0309674   0.953361
504,3.38393 1.91544       2,-5.47627 -3.48246   6.6318,-2.88424  -2.0706        0,4 0 0,-1.89823 -1.44358  2.07132, 3.10631 -1.32011  2.19682, -0.109861   0.250966 -0.0286809   0.961314
505,2.14626 1.29329       2,-2.81925 -1.75817  8.02559,-1.68239 -1.09438        0,4 0 0,failed,failed,failed
506,2.74697 1.21527       2,-4.97897 -2.72407  7.72059,-3.46699 -2.18448        0,4 0 0,failed,failed,failed
507,1.43569 2.49361       2,-2.55875 -3.49125  7.48858,-1.84891 -1.98801        0,4 0 0,failed,failed,failed
508,1.77672 2.40727       2,-2.01175 -3.39494  8.27264,-0.939984  -2.17732         0,4 0 0,-0.688513  -1.75295   1.71244, 4.08775 -1.45837 0.914315,-0.122178  0.188457 -0.023636  0.974165
509,1.90106 1.48812       2,-4.17635  -1.9796  6.59772, -3.14083 -0.901754         0,4 0 0, -2.19738 -0.454555   2.32461,  2.65986 -0.148408   2.61277,-0.0602146   0.240349 -0.0149402   0.968702
510,3.79672 1.40904       2,-4.20761 -1.80979  8.43376,-1.81902 -1.00643        0,4 0 0, -1.37743 -0.816487   1.54327,  3.21235 -0.175282   0.84623, -0.057843   0.234471 -0.0139776     0.9703
511,0.676976  2.48442        2, -3.2256 -3.60739  6.57362,-3.18647 -1.83631        0,4 0 0,failed,failed,failed
512,3.92282 2.38424       2,-5.04013 -3.22129  7.17223,-2.12583 -1.48162        0,4 0 0,failed,failed,failed
513,2.86981 1.72187       2,-3.30122 -2.74824  8.08258,-1.50392 -1.91922        0,4 0 0,-1.07401 -1.56132   1.7569, 3.84465 -1.38965   1.0171,-0.0996255   0.214685 -0.0220192   0.971339
514,2.65151 2.27186       2,-4.53357 -3.35455  7.50624,-2.94824 -1.87159        0,4 0 0,-2.11389 -1.25423  2.26984,   2.805 -1.22774  2.18017, -0.103462     0.2411 -0.0258596   0.964623
515,2.77893  1.1388       2,-3.99105 -2.45527  6.94847,-2.13662 -1.88521        0,4 0 0,-1.44214 -1.45797  1.98926, 3.57682 -1.44767  1.75274,-0.0922771   0.229761 -0.0218887   0.968615
